Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Change%
BTC,9/30/2013,123.65499,124.30466,124.75166,122.56349,0
BTC,10/1/2013,125.455,123.65499,125.7585,123.63383,0.014556711
BTC,10/2/2013,108.58483,125.455,125.66566,83.32833,-0.134471882
BTC,10/3/2013,118.67466,108.58483,118.675,107.05816,0.092921175
BTC,10/4/2013,121.33866,118.67466,121.93633,118.00566,0.022447926
BTC,10/5/2013,120.65533,121.33866,121.85216,120.5545,-0.005631593
BTC,10/6/2013,121.795,120.65533,121.99166,120.43199,0.009445666
BTC,10/7/2013,123.033,121.795,123.64016,121.35066,0.010164621
BTC,10/8/2013,124.049,123.033,124.7835,122.59266,0.008257947
BTC,10/9/2013,125.96116,124.049,128.01683,123.81966,0.015414554
BTC,10/10/2013,125.27966,125.96116,126.43666,124.11383,-0.005410398
BTC,10/11/2013,125.9275,125.27966,126.0365,123.12966,0.005171151
BTC,10/12/2013,126.38333,125.9275,126.8965,125.2765,0.003619781
BTC,10/13/2013,135.24199,126.38333,135.24199,126.255,0.07009358
BTC,10/14/2013,133.20333,135.24199,135.69216,130.39275,-0.015074164
BTC,10/15/2013,142.76333,133.20333,143.60483,132.94933,0.071769978
BTC,10/16/2013,137.92333,142.76333,145.601,136.01466,-0.033902263
BTC,10/17/2013,142.95166,137.92333,144.311,137.53966,0.036457429
BTC,10/18/2013,152.55183,142.95166,152.6685,142.47949,0.067156758
BTC,10/19/2013,160.33883,152.55183,167.07999,152.5135,0.051044946
BTC,10/20/2013,164.31499,160.33883,164.3315,159.89666,0.024798485
BTC,10/21/2013,177.63333,164.31499,177.71166,163.87149,0.081053713
BTC,10/22/2013,188.29716,177.63333,188.82383,177.11399,0.060032822
BTC,10/23/2013,200.70166,188.29716,202.34333,185.81683,0.065877255
BTC,10/24/2013,180.355,200.70166,201.33316,158.72216,-0.101377637
BTC,10/25/2013,175.03166,180.355,184.09033,162.56466,-0.029515899
BTC,10/26/2013,177.6965,175.03166,180.3185,174.74483,0.015224903
BTC,10/27/2013,187.15983,177.6965,188.3985,174.9035,0.053255579
BTC,10/28/2013,192.75666,187.15983,192.83983,185.88116,0.029904013
BTC,10/29/2013,197.4,192.75666,198.41366,191.62716,0.024089129
BTC,10/30/2013,196.02499,197.4,198.79333,192.83366,-0.006965603
BTC,10/31/2013,198.04883,196.02499,198.57,195.02916,0.010324398
BTC,11/1/2013,198.93233,198.04883,199.09783,195.49,0.004461021
